products_options_id	language_id	products_options_name	store_id	custom1	custom2	option_type	code	products_options_values_id	language_id	products_options_values_name	store_id	custom1	custom2	code
1	1	Color	NULL	NULL	NULL	0	COL	1	1	4 mb	NULL	NULL	NULL	NULL
1	1	Color	NULL	NULL	NULL	0	COL	1	2	4 MB	NULL	NULL	NULL	NULL
1	1	Color	NULL	NULL	NULL	0	COL	1	3	4 mb	NULL	NULL	NULL	NULL
1	1	Color	NULL	NULL	NULL	0	COL	1	4	4 mb	NULL	NULL	NULL	NULL
1	2	Farbe	NULL	NULL	NULL	0	COL	1	1	4 mb	NULL	NULL	NULL	NULL
1	2	Farbe	NULL	NULL	NULL	0	COL	1	2	4 MB	NULL	NULL	NULL	NULL
1	2	Farbe	NULL	NULL	NULL	0	COL	1	3	4 mb	NULL	NULL	NULL	NULL
1	2	Farbe	NULL	NULL	NULL	0	COL	1	4	4 mb	NULL	NULL	NULL	NULL
1	3	Color	NULL	NULL	NULL	0	COL	1	1	4 mb	NULL	NULL	NULL	NULL
1	3	Color	NULL	NULL	NULL	0	COL	1	2	4 MB	NULL	NULL	NULL	NULL
1	3	Color	NULL	NULL	NULL	0	COL	1	3	4 mb	NULL	NULL	NULL	NULL
1	3	Color	NULL	NULL	NULL	0	COL	1	4	4 mb	NULL	NULL	NULL	NULL
1	4	Cor	NULL	NULL	NULL	0	COL	1	1	4 mb	NULL	NULL	NULL	NULL
1	4	Cor	NULL	NULL	NULL	0	COL	1	2	4 MB	NULL	NULL	NULL	NULL
1	4	Cor	NULL	NULL	NULL	0	COL	1	3	4 mb	NULL	NULL	NULL	NULL
1	4	Cor	NULL	NULL	NULL	0	COL	1	4	4 mb	NULL	NULL	NULL	NULL
2	1	Size	NULL	NULL	NULL	0	NULL	2	1	8 mb	NULL	NULL	NULL	NULL
2	1	Size	NULL	NULL	NULL	0	NULL	2	2	8 MB	NULL	NULL	NULL	NULL
2	1	Size	NULL	NULL	NULL	0	NULL	2	3	8 mb	NULL	NULL	NULL	NULL
2	1	Size	NULL	NULL	NULL	0	NULL	2	4	8 mb	NULL	NULL	NULL	NULL
2	2	GrӇe	NULL	NULL	NULL	0	NULL	2	1	8 mb	NULL	NULL	NULL	NULL
2	2	GrӇe	NULL	NULL	NULL	0	NULL	2	2	8 MB	NULL	NULL	NULL	NULL
