zone_id	zone_country_id	zone_code	zone_name	store_id	custom1	custom2	custom3	zone_invisible	zone_search
1	223	AL	Alabama	NULL	NULL	NULL	NULL	0	NULL
2	223	AK	Alaska	NULL	NULL	NULL	NULL	0	NULL
3	223	AS	American Samoa	NULL	NULL	NULL	NULL	0	NULL
4	223	AZ	Arizona	NULL	NULL	NULL	NULL	0	NULL
5	223	AR	Arkansas	NULL	NULL	NULL	NULL	0	NULL
6	223	AF	Armed Forces Africa	NULL	NULL	NULL	NULL	0	NULL
7	223	AA	Armed Forces Americas	NULL	NULL	NULL	NULL	0	NULL
8	223	AC	Armed Forces Canada	NULL	NULL	NULL	NULL	0	NULL
9	223	AE	Armed Forces Europe	NULL	NULL	NULL	NULL	0	NULL
10	223	AM	Armed Forces Middle East	NULL	NULL	NULL	NULL	0	NULL
11	223	AP	Armed Forces Pacific	NULL	NULL	NULL	NULL	0	NULL
12	223	CA	California	NULL	NULL	NULL	NULL	0	NULL
13	223	CO	Colorado	NULL	NULL	NULL	NULL	0	NULL
14	223	CT	Connecticut	NULL	NULL	NULL	NULL	0	NULL
15	223	DE	Delaware	NULL	NULL	NULL	NULL	0	NULL
16	223	DC	District of Columbia	NULL	NULL	NULL	NULL	0	NULL
17	223	FM	Federated States Of Micronesia	NULL	NULL	NULL	NULL	0	NULL
18	223	FL	Florida	NULL	NULL	NULL	NULL	0	NULL
19	223	GA	Georgia	NULL	NULL	NULL	NULL	0	NULL
20	223	GU	Guam	NULL	NULL	NULL	NULL	0	NULL
21	223	HI	Hawaii	NULL	NULL	NULL	NULL	0	NULL
22	223	ID	Idaho	NULL	NULL	NULL	NULL	0	NULL
23	223	IL	Illinois	NULL	NULL	NULL	NULL	0	NULL
24	223	IN	Indiana	NULL	NULL	NULL	NULL	0	NULL
25	223	IA	Iowa	NULL	NULL	NULL	NULL	0	NULL
26	223	KS	Kansas	NULL	NULL	NULL	NULL	0	NULL
27	223	KY	Kentucky	NULL	NULL	NULL	NULL	0	NULL
28	223	LA	Louisiana	NULL	NULL	NULL	NULL	0	NULL
29	223	ME	Maine	NULL	NULL	NULL	NULL	0	NULL
30	223	MH	Marshall Islands	NULL	NULL	NULL	NULL	0	NULL
31	223	MD	Maryland	NULL	NULL	NULL	NULL	0	NULL
32	223	MA	Massachusetts	NULL	NULL	NULL	NULL	0	NULL
33	223	MI	Michigan	NULL	NULL	NULL	NULL	0	NULL
34	223	MN	Minnesota	NULL	NULL	NULL	NULL	0	NULL
35	223	MS	Mississippi	NULL	NULL	NULL	NULL	0	NULL
36	223	MO	Missouri	NULL	NULL	NULL	NULL	0	NULL
37	223	MT	Montana	NULL	NULL	NULL	NULL	0	NULL
38	223	NE	Nebraska	NULL	NULL	NULL	NULL	0	NULL
39	223	NV	Nevada	NULL	NULL	NULL	NULL	0	NULL
40	223	NH	New Hampshire	NULL	NULL	NULL	NULL	0	NULL
41	223	NJ	New Jersey	NULL	NULL	NULL	NULL	0	NULL
42	223	NM	New Mexico	NULL	NULL	NULL	NULL	0	NULL
43	223	NY	New York	NULL	NULL	NULL	NULL	0	NULL
44	223	NC	North Carolina	NULL	NULL	NULL	NULL	0	NULL
45	223	ND	North Dakota	NULL	NULL	NULL	NULL	0	NULL
46	223	MP	Northern Mariana Islands	NULL	NULL	NULL	NULL	0	NULL
47	223	OH	Ohio	NULL	NULL	NULL	NULL	0	NULL
48	223	OK	Oklahoma	NULL	NULL	NULL	NULL	0	NULL
49	223	OR	Oregon	NULL	NULL	NULL	NULL	0	NULL
50	223	PW	Palau	NULL	NULL	NULL	NULL	0	NULL
51	223	PA	Pennsylvania	NULL	NULL	NULL	NULL	0	NULL
52	223	PR	Puerto Rico	NULL	NULL	NULL	NULL	0	NULL
53	223	RI	Rhode Island	NULL	NULL	NULL	NULL	0	NULL
54	223	SC	South Carolina	NULL	NULL	NULL	NULL	0	NULL
55	223	SD	South Dakota	NULL	NULL	NULL	NULL	0	NULL
56	223	TN	Tennessee	NULL	NULL	NULL	NULL	0	NULL
57	223	TX	Texas	NULL	NULL	NULL	NULL	0	NULL
58	223	UT	Utah	NULL	NULL	NULL	NULL	0	NULL
59	223	VT	Vermont	NULL	NULL	NULL	NULL	0	NULL
60	223	VI	Virgin Islands	NULL	NULL	NULL	NULL	0	NULL
61	223	VA	Virginia	NULL	NULL	NULL	NULL	0	NULL
62	223	WA	Washington	NULL	NULL	NULL	NULL	0	NULL
63	223	WV	West Virginia	NULL	NULL	NULL	NULL	0	NULL
64	223	WI	Wisconsin	NULL	NULL	NULL	NULL	0	NULL
65	223	WY	Wyoming	NULL	NULL	NULL	NULL	0	NULL
66	13	ACT	Australian Capitol Territory	NULL	NULL	NULL	NULL	0	NULL
67	13	NSW	New South Wales	NULL	NULL	NULL	NULL	0	NULL
68	13	NT	Northern Territory	NULL	NULL	NULL	NULL	0	NULL
69	13	QLD	Queensland	NULL	NULL	NULL	NULL	0	NULL
70	13	SA	South Australia	NULL	NULL	NULL	NULL	0	NULL
71	13	TAS	Tasmania	NULL	NULL	NULL	NULL	0	NULL
72	13	VIC	Victoria	NULL	NULL	NULL	NULL	0	NULL
73	13	WA	Western Australia	NULL	NULL	NULL	NULL	0	NULL
74	14	WI	Wien	NULL	NULL	NULL	NULL	0	NULL
75	14	NO	Niederîsterreich	NULL	NULL	NULL	NULL	0	NULL
76	14	OO	Oberîsterreich	NULL	NULL	NULL	NULL	0	NULL
77	14	SB	Salzburg	NULL	NULL	NULL	NULL	0	NULL
78	14	KN	KÑrnten	NULL	NULL	NULL	NULL	0	NULL
79	14	ST	Steiermark	NULL	NULL	NULL	NULL	0	NULL
80	14	TI	Tirol	NULL	NULL	NULL	NULL	0	NULL
81	14	BL	Burgenland	NULL	NULL	NULL	NULL	0	NULL
82	14	VB	Voralberg	NULL	NULL	NULL	NULL	0	NULL
83	44	AN	Anhui	NULL	NULL	NULL	NULL	0	NULL
84	44	BE	Beijing	NULL	NULL	NULL	NULL	0	NULL
85	44	CH	Chongqing	NULL	NULL	NULL	NULL	0	NULL
86	44	FU	Fujian	NULL	NULL	NULL	NULL	0	NULL
87	44	GA	Gansu	NULL	NULL	NULL	NULL	0	NULL
88	44	GU	Guangdong	NULL	NULL	NULL	NULL	0	NULL
89	44	GX	Guangxi	NULL	NULL	NULL	NULL	0	NULL
90	44	GZ	Guizhou	NULL	NULL	NULL	NULL	0	NULL
91	44	HA	Hainan	NULL	NULL	NULL	NULL	0	NULL
92	44	HB	Hebei	NULL	NULL	NULL	NULL	0	NULL
93	44	HL	Heilongjiang	NULL	NULL	NULL	NULL	0	NULL
94	44	HE	Henan	NULL	NULL	NULL	NULL	0	NULL
95	44	HK	Hong Kong	NULL	NULL	NULL	NULL	0	NULL
96	44	HU	Hubei	NULL	NULL	NULL	NULL	0	NULL
97	44	HN	Hunan	NULL	NULL	NULL	NULL	0	NULL
98	44	IM	Inner Mongolia	NULL	NULL	NULL	NULL	0	NULL
99	44	JI	Jiangsu	NULL	NULL	NULL	NULL	0	NULL
100	44	JX	Jiangxi	NULL	NULL	NULL	NULL	0	NULL
101	44	JL	Jilin	NULL	NULL	NULL	NULL	0	NULL
102	44	LI	Liaoning	NULL	NULL	NULL	NULL	0	NULL
103	44	MA	Macau	NULL	NULL	NULL	NULL	0	NULL
104	44	NI	Ningxia	NULL	NULL	NULL	NULL	0	NULL
105	44	SH	Shaanxi	NULL	NULL	NULL	NULL	0	NULL
106	44	SA	Shandong	NULL	NULL	NULL	NULL	0	NULL
107	44	SG	Shanghai	NULL	NULL	NULL	NULL	0	NULL
108	44	SX	Shanxi	NULL	NULL	NULL	NULL	0	NULL
109	44	SI	Sichuan	NULL	NULL	NULL	NULL	0	NULL
110	44	TI	Tianjin	NULL	NULL	NULL	NULL	0	NULL
111	44	XI	Xinjiang	NULL	NULL	NULL	NULL	0	NULL
112	44	YU	Yunnan	NULL	NULL	NULL	NULL	0	NULL
113	44	ZH	Zhejiang	NULL	NULL	NULL	NULL	0	NULL
114	99	AN	Andaman and Nicobar Islands	NULL	NULL	NULL	NULL	0	NULL
115	99	AP	Andhra Pradesh	NULL	NULL	NULL	NULL	0	NULL
116	99	AR	Arunachal Pradesh	NULL	NULL	NULL	NULL	0	NULL
117	99	AS	Assam	NULL	NULL	NULL	NULL	0	NULL
118	99	BI	Bihar	NULL	NULL	NULL	NULL	0	NULL
119	99	CH	Chandigarh	NULL	NULL	NULL	NULL	0	NULL
120	99	DA	Dadra and Nagar Haveli	NULL	NULL	NULL	NULL	0	NULL
121	99	DM	Daman and Diu	NULL	NULL	NULL	NULL	0	NULL
122	99	DE	Delhi	NULL	NULL	NULL	NULL	0	NULL
123	99	GO	Goa	NULL	NULL	NULL	NULL	0	NULL
124	99	GU	Gujarat	NULL	NULL	NULL	NULL	0	NULL
125	99	HA	Haryana	NULL	NULL	NULL	NULL	0	NULL
126	99	HP	Himachal Pradesh	NULL	NULL	NULL	NULL	0	NULL
127	99	JA	Jammu and Kashmir	NULL	NULL	NULL	NULL	0	NULL
128	99	KA	Karnataka	NULL	NULL	NULL	NULL	0	NULL
129	99	KE	Kerala	NULL	NULL	NULL	NULL	0	NULL
130	99	LI	Lakshadweep Islands	NULL	NULL	NULL	NULL	0	NULL
131	99	MP	Madhya Pradesh	NULL	NULL	NULL	NULL	0	NULL
132	99	MA	Maharashtra	NULL	NULL	NULL	NULL	0	NULL
133	99	MN	Manipur	NULL	NULL	NULL	NULL	0	NULL
134	99	ME	Meghalaya	NULL	NULL	NULL	NULL	0	NULL
135	99	MI	Mizoram	NULL	NULL	NULL	NULL	0	NULL
136	99	NA	Nagaland	NULL	NULL	NULL	NULL	0	NULL
137	99	OR	Orissa	NULL	NULL	NULL	NULL	0	NULL
138	99	PO	Pondicherry	NULL	NULL	NULL	NULL	0	NULL
139	99	PU	Punjab	NULL	NULL	NULL	NULL	0	NULL
140	99	RA	Rajasthan	NULL	NULL	NULL	NULL	0	NULL
141	99	SI	Sikkim	NULL	NULL	NULL	NULL	0	NULL
142	99	TN	Tamil Nadu	NULL	NULL	NULL	NULL	0	NULL
143	99	TR	Tripura	NULL	NULL	NULL	NULL	0	NULL
144	99	UP	Uttar Pradesh	NULL	NULL	NULL	NULL	0	NULL
145	99	WB	West Bengal	NULL	NULL	NULL	NULL	0	NULL
146	150	DR	Drenthe	NULL	NULL	NULL	NULL	0	NULL
147	150	FL	Flevoland	NULL	NULL	NULL	NULL	0	NULL
148	150	FR	Friesland	NULL	NULL	NULL	NULL	0	NULL
149	150	GE	Gelderland	NULL	NULL	NULL	NULL	0	NULL
150	150	GR	Groningen	NULL	NULL	NULL	NULL	0	NULL
151	150	LI	Limburg	NULL	NULL	NULL	NULL	0	NULL
152	150	NB	Noord Brabant	NULL	NULL	NULL	NULL	0	NULL
153	150	NH	Noord Holland	NULL	NULL	NULL	NULL	0	NULL
154	150	OV	Overijssel	NULL	NULL	NULL	NULL	0	NULL
155	150	UT	Utrecht	NULL	NULL	NULL	NULL	0	NULL
156	150	ZE	Zeeland	NULL	NULL	NULL	NULL	0	NULL
157	150	ZH	Zuid Holland	NULL	NULL	NULL	NULL	0	NULL
158	38	AB	Alberta	NULL	NULL	NULL	NULL	0	NULL
159	38	BC	British Columbia	NULL	NULL	NULL	NULL	0	NULL
160	38	MB	Manitoba	NULL	NULL	NULL	NULL	0	NULL
161	38	NL	Newfoundland and Labrador	NULL	NULL	NULL	NULL	0	NULL
162	38	NB	New Brunswick	NULL	NULL	NULL	NULL	0	NULL
163	38	NS	Nova Scotia	NULL	NULL	NULL	NULL	0	NULL
164	38	NT	Northwest Territories	NULL	NULL	NULL	NULL	0	NULL
165	38	NU	Nunavut	NULL	NULL	NULL	NULL	0	NULL
166	38	ON	Ontario	NULL	NULL	NULL	NULL	0	NULL
167	38	PE	Prince Edward Island	NULL	NULL	NULL	NULL	0	NULL
168	38	QC	Quebec	NULL	NULL	NULL	NULL	0	NULL
169	38	SK	Saskatchewan	NULL	NULL	NULL	NULL	0	NULL
170	38	YT	Yukon Territory	NULL	NULL	NULL	NULL	0	NULL
171	81	NDS	Niedersachsen	NULL	NULL	NULL	NULL	0	NULL
172	81	BAW	Baden-WÅrttemberg	NULL	NULL	NULL	NULL	0	NULL
173	81	BAY	Bayern	NULL	NULL	NULL	NULL	0	NULL
174	81	BER	Berlin	NULL	NULL	NULL	NULL	0	NULL
175	81	BRG	Brandenburg	NULL	NULL	NULL	NULL	0	NULL
176	81	BRE	Bremen	NULL	NULL	NULL	NULL	0	NULL
177	81	HAM	Hamburg	NULL	NULL	NULL	NULL	0	NULL
178	81	HES	Hessen	NULL	NULL	NULL	NULL	0	NULL
179	81	MEC	Mecklenburg-Vorpommern	NULL	NULL	NULL	NULL	0	NULL
180	81	NRW	Nordrhein-Westfalen	NULL	NULL	NULL	NULL	0	NULL
181	81	RHE	Rheinland-Pfalz	NULL	NULL	NULL	NULL	0	NULL
182	81	SAR	Saarland	NULL	NULL	NULL	NULL	0	NULL
183	81	SAS	Sachsen	NULL	NULL	NULL	NULL	0	NULL
184	81	SAC	Sachsen-Anhalt	NULL	NULL	NULL	NULL	0	NULL
185	81	SCN	Schleswig-Holstein	NULL	NULL	NULL	NULL	0	NULL
186	81	THE	ThÅringen	NULL	NULL	NULL	NULL	0	NULL
187	84	AT	Attica	NULL	NULL	NULL	NULL	0	NULL
188	84	CN	Central Greece	NULL	NULL	NULL	NULL	0	NULL
189	84	CM	Central Macedonia	NULL	NULL	NULL	NULL	0	NULL
190	84	CR	Crete	NULL	NULL	NULL	NULL	0	NULL
191	84	EM	East Macedonia and Thrace	NULL	NULL	NULL	NULL	0	NULL
192	84	EP	Epirus	NULL	NULL	NULL	NULL	0	NULL
193	84	II	Ionian Islands	NULL	NULL	NULL	NULL	0	NULL
194	84	NA	North Aegean	NULL	NULL	NULL	NULL	0	NULL
195	84	PP	Peloponnesos	NULL	NULL	NULL	NULL	0	NULL
